ref,X,L-X
1 ,4.3,95.7
2 ,17.4,82.6
3 ,24.8,75.2
4 ,30.7,69.3
5 ,33.4,66.6
6 ,38.1,66.6
7 ,38.8,61.9
8 ,43.2,61.2
9 ,47.7,56.8
10 ,49.6,50.4
