ref,X,L-X
1  ,50.9,49.1
2  ,71.7,28.3
3  ,79.5,20.5
4  ,83.9,16.1
5  ,87.4,12.6
6  ,88.2,12.6
7  ,88.3,11.8
8  ,88.4,11.7
9  ,88.9,11.6
10  ,89.3,10.7
