ref,X,L-X
1 ,25.5,74.5
2 ,38.2,61.8
3 ,49.6,50.4
4 ,55,45
5 ,60.7,39.3
6 ,67.8,32.2
7 ,68,32
8 ,74.8,25.2
9 ,77.1,22.9
10 ,79.1,20.9
